dateTime,ngl-dual-504.symbolblockchain.io,ngl-dual-502.symbolblockchain.io,ngl-beacon-102.symbolblockchain.io,ngl-dual-001.symbolblockchain.io,ngl-dual-004.symbolblockchain.io,ngl-dual-602.symbolblockchain.io,ngl-dual-203.symbolblockchain.io,ngl-beacon-602.symbolblockchain.io,ngl-beacon-502.symbolblockchain.io,ngl-beacon-001.symbolblockchain.io,ngl-dual-204.symbolblockchain.io,ngl-dual-202.symbolblockchain.io,ngl-dual-002.symbolblockchain.io,ngl-dual-403.symbolblockchain.io,ngl-beacon-302.symbolblockchain.io,ngl-dual-401.symbolblockchain.io,ngl-dual-503.symbolblockchain.io,ngl-beacon-402.symbolblockchain.io,ngl-beacon-202.symbolblockchain.io,ngl-dual-201.symbolblockchain.io,ngl-beacon-401.symbolblockchain.io,ngl-dual-302.symbolblockchain.io,ngl-dual-402.symbolblockchain.io,ngl-dual-003.symbolblockchain.io,ngl-beacon-301.symbolblockchain.io,ngl-dual-604.symbolblockchain.io,ngl-dual-104.symbolblockchain.io,ngl-dual-102.symbolblockchain.io,ngl-dual-103.symbolblockchain.io,ngl-dual-304.symbolblockchain.io,ngl-dual-303.symbolblockchain.io,ngl-beacon-002.symbolblockchain.io,ngl-beacon-201.symbolblockchain.io,ngl-dual-404.symbolblockchain.io,ngl-dual-501.symbolblockchain.io,ngl-dual-601.symbolblockchain.io,ngl-beacon-101.symbolblockchain.io,ngl-beacon-501.symbolblockchain.io,ngl-dual-603.symbolblockchain.io,ngl-dual-101.symbolblockchain.io,ngl-dual-301.symbolblockchain.io,ngl-beacon-601.symbolblockchain.io
2021-06-20,26.0,19.0,19.0,30.0,21.0,35.0,30.0,20.0,22.0,0.0,31.0,27.0,32.0,28.0,27.0,33.0,31.0,24.0,29.0,32.0,23.0,20.0,37.0,28.0,24.0,34.0,20.0,26.0,19.0,33.0,22.0,45.0,23.0,27.0,24.0,41.0,29.0,32.0,31.0,34.0,32.0,31.0
2021-06-27,24.0,23.0,31.0,29.0,26.0,32.0,24.0,29.0,26.0,0.0,28.0,27.0,30.0,32.0,25.0,25.0,34.0,24.0,33.0,35.0,27.0,22.0,31.0,29.0,22.0,34.0,31.0,32.0,37.0,34.0,28.0,24.0,16.0,20.0,26.0,23.0,40.0,31.0,34.0,30.0,26.0,32.0
2021-07-04,33.0,28.0,18.0,27.0,24.0,28.0,20.0,29.0,24.0,0.0,31.0,27.0,29.0,23.0,27.0,27.0,25.0,33.0,26.0,31.0,27.0,31.0,27.0,27.0,27.0,25.0,32.0,26.0,38.0,33.0,37.0,37.0,31.0,38.0,22.0,33.0,24.0,30.0,28.0,24.0,20.0,19.0
2021-07-11,23.0,31.0,25.0,27.0,33.0,25.0,25.0,34.0,33.0,0.0,27.0,26.0,28.0,29.0,24.0,38.0,21.0,34.0,30.0,33.0,27.0,33.0,23.0,31.0,26.0,22.0,26.0,21.0,29.0,19.0,29.0,18.0,30.0,26.0,30.0,31.0,19.0,23.0,33.0,30.0,22.0,23.0
2021-07-18,30.0,24.0,34.0,28.0,29.0,27.0,26.0,19.0,24.0,0.0,30.0,24.0,23.0,19.0,32.0,37.0,22.0,24.0,24.0,27.0,19.0,22.0,29.0,28.0,36.0,28.0,29.0,22.0,20.0,28.0,30.0,34.0,33.0,21.0,20.0,33.0,26.0,25.0,29.0,27.0,23.0,34.0
2021-07-25,19.0,25.0,27.0,36.0,22.0,29.0,38.0,34.0,17.0,0.0,25.0,28.0,26.0,18.0,25.0,24.0,23.0,28.0,17.0,29.0,35.0,30.0,24.0,33.0,21.0,20.0,28.0,22.0,24.0,27.0,17.0,19.0,32.0,23.0,29.0,33.0,28.0,21.0,18.0,29.0,30.0,29.0
2021-08-01,13.0,33.0,24.0,32.0,19.0,30.0,18.0,31.0,25.0,0.0,31.0,18.0,20.0,25.0,22.0,18.0,25.0,24.0,18.0,20.0,29.0,26.0,22.0,43.0,27.0,32.0,26.0,32.0,20.0,30.0,29.0,21.0,25.0,29.0,41.0,21.0,20.0,29.0,28.0,30.0,27.0,20.0
2021-08-08,21.0,26.0,28.0,26.0,26.0,27.0,28.0,26.0,33.0,0.0,22.0,29.0,26.0,27.0,41.0,25.0,21.0,25.0,28.0,17.0,32.0,16.0,32.0,17.0,30.0,17.0,30.0,41.0,14.0,20.0,27.0,21.0,23.0,25.0,21.0,15.0,25.0,31.0,20.0,28.0,26.0,35.0
2021-08-15,35.0,25.0,27.0,19.0,16.0,25.0,24.0,30.0,32.0,0.0,32.0,19.0,23.0,17.0,24.0,22.0,28.0,30.0,26.0,25.0,24.0,20.0,27.0,23.0,18.0,24.0,21.0,27.0,30.0,20.0,20.0,24.0,29.0,18.0,27.0,25.0,26.0,23.0,22.0,26.0,20.0,21.0
2021-08-22,23.0,34.0,27.0,26.0,32.0,26.0,25.0,25.0,20.0,0.0,25.0,33.0,20.0,17.0,22.0,29.0,31.0,22.0,20.0,24.0,18.0,27.0,24.0,37.0,25.0,25.0,20.0,23.0,18.0,25.0,26.0,30.0,28.0,23.0,22.0,28.0,25.0,25.0,20.0,26.0,24.0,25.0
2021-08-29,23.0,24.0,31.0,28.0,29.0,26.0,23.0,21.0,19.0,0.0,32.0,30.0,24.0,27.0,23.0,23.0,20.0,32.0,18.0,17.0,30.0,29.0,27.0,23.0,27.0,29.0,20.0,22.0,29.0,26.0,36.0,24.0,24.0,30.0,23.0,37.0,25.0,29.0,35.0,17.0,25.0,26.0
2021-09-05,32.0,30.0,18.0,26.0,26.0,24.0,17.0,18.0,21.0,0.0,30.0,21.0,29.0,25.0,28.0,28.0,28.0,23.0,24.0,23.0,29.0,18.0,26.0,27.0,24.0,28.0,21.0,12.0,32.0,16.0,25.0,21.0,19.0,23.0,24.0,31.0,24.0,25.0,28.0,27.0,23.0,29.0
2021-09-12,24.0,31.0,26.0,26.0,28.0,22.0,35.0,24.0,26.0,0.0,19.0,19.0,15.0,24.0,30.0,28.0,27.0,21.0,32.0,24.0,21.0,30.0,35.0,28.0,27.0,31.0,30.0,26.0,33.0,20.0,24.0,27.0,26.0,31.0,29.0,38.0,27.0,30.0,22.0,27.0,26.0,14.0
2021-09-19,30.0,24.0,24.0,32.0,28.0,24.0,25.0,22.0,26.0,0.0,30.0,31.0,38.0,26.0,24.0,19.0,23.0,19.0,22.0,24.0,26.0,25.0,27.0,29.0,26.0,26.0,13.0,16.0,34.0,22.0,17.0,30.0,24.0,31.0,27.0,18.0,26.0,26.0,15.0,22.0,21.0,31.0
2021-09-26,22.0,29.0,22.0,20.0,23.0,22.0,28.0,25.0,26.0,0.0,28.0,30.0,26.0,13.0,22.0,16.0,23.0,32.0,31.0,25.0,24.0,22.0,23.0,18.0,27.0,30.0,28.0,19.0,23.0,28.0,24.0,14.0,26.0,25.0,22.0,30.0,21.0,28.0,21.0,24.0,30.0,28.0
2021-10-03,27.0,26.0,18.0,25.0,23.0,33.0,25.0,32.0,25.0,0.0,30.0,21.0,25.0,38.0,18.0,20.0,28.0,24.0,21.0,20.0,27.0,30.0,24.0,27.0,26.0,30.0,12.0,30.0,22.0,17.0,32.0,23.0,22.0,21.0,28.0,12.0,18.0,21.0,21.0,27.0,21.0,29.0
2021-10-10,9.0,15.0,17.0,15.0,6.0,12.0,13.0,7.0,11.0,0.0,9.0,13.0,17.0,9.0,12.0,17.0,12.0,13.0,15.0,15.0,8.0,10.0,5.0,9.0,13.0,4.0,7.0,15.0,8.0,15.0,13.0,14.0,18.0,8.0,8.0,15.0,10.0,8.0,9.0,18.0,17.0,9.0
