dateTime,ngl-dual-504.symbolblockchain.io,ngl-dual-502.symbolblockchain.io,ngl-beacon-102.symbolblockchain.io,ngl-dual-001.symbolblockchain.io,ngl-dual-004.symbolblockchain.io,ngl-dual-602.symbolblockchain.io,ngl-dual-203.symbolblockchain.io,ngl-beacon-602.symbolblockchain.io,ngl-beacon-502.symbolblockchain.io,ngl-beacon-001.symbolblockchain.io,ngl-dual-204.symbolblockchain.io,ngl-dual-202.symbolblockchain.io,ngl-dual-002.symbolblockchain.io,ngl-dual-403.symbolblockchain.io,ngl-beacon-302.symbolblockchain.io,ngl-dual-401.symbolblockchain.io,ngl-dual-503.symbolblockchain.io,ngl-beacon-402.symbolblockchain.io,ngl-beacon-202.symbolblockchain.io,ngl-dual-201.symbolblockchain.io,ngl-beacon-401.symbolblockchain.io,ngl-dual-302.symbolblockchain.io,ngl-dual-402.symbolblockchain.io,ngl-dual-003.symbolblockchain.io,ngl-beacon-301.symbolblockchain.io,ngl-dual-604.symbolblockchain.io,ngl-dual-104.symbolblockchain.io,ngl-dual-102.symbolblockchain.io,ngl-dual-103.symbolblockchain.io,ngl-dual-304.symbolblockchain.io,ngl-dual-303.symbolblockchain.io,ngl-beacon-002.symbolblockchain.io,ngl-beacon-201.symbolblockchain.io,ngl-dual-404.symbolblockchain.io,ngl-dual-501.symbolblockchain.io,ngl-dual-601.symbolblockchain.io,ngl-beacon-101.symbolblockchain.io,ngl-beacon-501.symbolblockchain.io,ngl-dual-603.symbolblockchain.io,ngl-dual-101.symbolblockchain.io,ngl-dual-301.symbolblockchain.io,ngl-beacon-601.symbolblockchain.io
2021-03-31,3013988.94904,3017876.23787,3012535.503065,3014707.91617,3016282.459305,3017286.141945,3014777.156,3016201.337562,3015465.16552,3000000.0,3010645.867141,3015675.674203,3012181.917318,3018654.389257,3013747.121455,3014204.744749,3013817.503244,3014860.730771,3015093.142557,3015277.115782,3015326.274753,3014553.731419,3012863.913266,3015528.679459,3016528.830046,3014078.185694,3015055.42798,3016314.584452,3016704.867915,3014627.786583,3017813.620439,3013785.308274,3014386.649457,3015130.875706,3015758.392387,3014864.896341,3013587.770609,3012926.917791,3015793.58425,3014760.841593,3014739.256426,3016793.464306
2021-04-30,3039390.9243449997,3048960.238099,3043780.023336,3042704.482285,3042069.52204,3045248.825772,3046386.358233,3043239.409521,3043607.6243129997,3000000.000003,3039905.840382,3043997.071207,3037955.78174,3044226.013578,3041710.1300439998,3040513.0427329997,3037744.517488,3042820.245221,3041956.665273,3045431.546344,3042378.962634,3045273.054428,3041568.7757599996,3042783.371143,3046673.526043,3042606.7716110004,3039725.4831100004,3042260.234545,3043773.883599,3041656.926199,3048365.705321,3041740.883392,3040332.53437,3041423.5463549998,3046291.6833349997,3040083.230095,3038615.6443760004,3039068.785319,3044678.641025,3041623.858662,3043256.709603,3044406.613994
2021-05-31,3064398.1449939995,3073847.96137,3070246.795356,3071686.325811,3066016.563587,3071363.534425,3067862.957589,3066473.772506,3066818.3273469997,3000000.000005,3061177.048505,3068127.649943,3056482.405624,3068185.033307,3062331.6582079995,3067836.4763579997,3062408.51359,3064815.723116,3065401.030282,3065789.932929,3064194.661903,3071403.083557,3068653.3227589997,3062927.5440530004,3070868.255041,3065277.1199320005,3061863.1735640005,3068211.439793,3066652.18194,3061284.502153,3074233.983391,3067497.342718,3063166.525994,3064135.494339,3071222.731396,3065803.803471,3065450.4332030006,3059988.936815,3073758.907396,3064262.192621,3069181.165791,3067292.520925
2021-06-30,3086240.2105109994,3093941.43633,3087194.175845,3092989.9191610003,3084000.828931,3094789.144382,3088126.152951,3083593.999098,3087608.3667169996,3000000.0000059996,3081095.881073,3086655.366554,3079020.088639,3089001.810062,3082960.9986399994,3088442.9175929995,3086686.662008,3082471.5208360003,3086185.0508870003,3090251.534788,3084105.725264,3090264.3939879998,3091014.648795,3084592.0019080006,3087465.409002,3089045.2638640003,3081949.2037160005,3088297.571044,3087962.376851,3083656.81768,3096242.561131,3090246.620697,3080994.858754,3084751.2296929997,3089401.650696,3089730.449261,3090080.9085450005,3078685.291979,3096828.9682239997,3086971.68128,3091018.8937729998,3091049.1351449997
2021-07-31,3103356.3006839994,3115427.802021,3108149.1402249997,3116044.205618,3103910.398438,3115916.903195,3108220.8185659996,3106825.270937,3106470.3473799997,3000000.0000059996,3103978.109234,3105869.166988,3098927.882126,3107341.785468,3102524.6491249995,3111153.1408149996,3104502.147614,3103954.8773030005,3104352.2462520003,3111741.226394,3104016.129272,3111936.1608999996,3110228.3840159997,3109921.5721960007,3108958.814576,3109304.733452,3103434.0301370006,3106820.952425,3107698.000455,3105673.429201,3117026.147615,3109289.229911,3103874.230427,3103971.7608809997,3111592.722116,3113487.553725,3108244.0642640004,3098072.052686,3117266.2465079995,3108280.8981830003,3109709.1466559996,3110614.254547
2021-08-31,3122973.9651049995,3137231.713386,3128952.238366,3135304.172847,3122976.0855630003,3136390.335697,3126815.5924239997,3126276.738274,3126200.689916,3000000.0000069994,3125604.6936830003,3126471.998681,3116169.3255689996,3123893.236913,3122904.9855839997,3129573.0950789996,3123441.181535,3124594.3186270003,3121462.634657,3127427.525978,3123847.350481,3129254.2853439995,3131107.95589,3129292.7357220007,3128042.517709,3128520.175111,3120857.5423230007,3127755.429921,3125060.899534,3122345.867725,3137126.1101180003,3127006.027227,3123177.352229,3122903.0978229996,3130894.852272,3133330.601989,3126650.4764000005,3118729.684883,3135991.7980219997,3127771.363712,3128325.3655959996,3130761.644131
2021-09-30,3141864.3040799997,3157132.766969,3145501.577414,3154035.940805,3141704.1198950005,3153270.910038,3145378.3846919998,3142330.862753,3143926.3628459997,3000000.0000089994,3143499.9164600004,3144718.928663,3135058.6736779995,3140986.4536369997,3140976.683051,3145619.7921109996,3142347.881406,3140654.9593980005,3140864.2500150003,3144341.278926,3142069.1962309997,3146136.8046419993,3150497.364892,3147864.9913300006,3146271.668431,3147910.156853,3136234.545337001,3142469.1947,3145785.46813,3137555.103363,3154384.3119300003,3143564.33058,3140727.212007,3142307.0934249996,3147942.0132230003,3152721.999324,3143703.5461920006,3137458.952265,3150873.5879989997,3145008.6132940003,3146379.80385,3149647.411469
2021-10-31,3145042.7515279995,3160986.420386,3148844.272758,3158047.817975,3144387.9223020007,3157617.323405,3149736.281203,3146353.726346,3147771.305529,3000000.0000089994,3147844.8135730005,3147738.0095,3140074.1145859994,3145520.3186079995,3144329.163786,3149965.9402779997,3146024.51878,3145357.0102160005,3144708.2028570003,3148519.635279,3145746.6500609997,3150825.928095999,3153339.4424799997,3151040.0920040007,3150449.73306,3151096.397694,3137916.054742001,3147151.1625429997,3148960.82918,3141075.9088709997,3159232.5842680004,3148078.1455989997,3144905.568063,3145159.0377849997,3151973.570625,3155730.362651,3146545.5647530006,3140467.062203,3153882.804668,3150189.6790600005,3150392.72113,3152822.905109
