dateTime,ngl-dual-504.symbolblockchain.io,ngl-dual-502.symbolblockchain.io,ngl-beacon-102.symbolblockchain.io,ngl-dual-001.symbolblockchain.io,ngl-dual-004.symbolblockchain.io,ngl-dual-602.symbolblockchain.io,ngl-dual-203.symbolblockchain.io,ngl-beacon-602.symbolblockchain.io,ngl-beacon-502.symbolblockchain.io,ngl-beacon-001.symbolblockchain.io,ngl-dual-204.symbolblockchain.io,ngl-dual-202.symbolblockchain.io,ngl-dual-002.symbolblockchain.io,ngl-dual-403.symbolblockchain.io,ngl-beacon-302.symbolblockchain.io,ngl-dual-401.symbolblockchain.io,ngl-dual-503.symbolblockchain.io,ngl-beacon-402.symbolblockchain.io,ngl-beacon-202.symbolblockchain.io,ngl-dual-201.symbolblockchain.io,ngl-beacon-401.symbolblockchain.io,ngl-dual-302.symbolblockchain.io,ngl-dual-402.symbolblockchain.io,ngl-dual-003.symbolblockchain.io,ngl-beacon-301.symbolblockchain.io,ngl-dual-604.symbolblockchain.io,ngl-dual-104.symbolblockchain.io,ngl-dual-102.symbolblockchain.io,ngl-dual-103.symbolblockchain.io,ngl-dual-304.symbolblockchain.io,ngl-dual-303.symbolblockchain.io,ngl-beacon-002.symbolblockchain.io,ngl-beacon-201.symbolblockchain.io,ngl-dual-404.symbolblockchain.io,ngl-dual-501.symbolblockchain.io,ngl-dual-601.symbolblockchain.io,ngl-beacon-101.symbolblockchain.io,ngl-beacon-501.symbolblockchain.io,ngl-dual-603.symbolblockchain.io,ngl-dual-101.symbolblockchain.io,ngl-dual-301.symbolblockchain.io,ngl-beacon-601.symbolblockchain.io
2021-03-21,4802.865377,5164.943215,4974.732188,3684.890641,4126.839056,5531.537571,5886.08976,5702.865539,4614.545126,0.0,2905.188262,5756.099739,2934.656421,4845.436375,3636.894881,3354.846615,3338.950894,4369.107079,3901.549653,4251.217099,4678.680666,4621.27674,4403.069678,4340.370114,3113.084455,5988.519607,5116.832597,4033.180559,5453.691783,3580.5038090000003,5976.094012,4360.3495,4426.667946,5193.006331,3420.649684,3834.021151,4924.970149,3889.7168619999998,5335.093975,4429.7663,4252.778424,5049.635349
2021-03-28,6237.510937,9197.908131,4229.729055,8086.332874,8826.005729,8974.880589,6421.213387,8085.505398,8280.568734,0.0,6237.886861,7155.7044829999995,5699.967152,11198.056557,6064.011017,8635.562127,7521.053891,7727.155075,8259.490035,6796.231208,8259.49995,7533.326266,6249.737034,8989.456825,9553.956494,5511.261152,6788.918047,9170.375848,8639.001659,8087.291434,8264.343508,6802.508988,7352.324025,5700.433118,8825.828714,8276.659928,7170.559539,6053.214648,6971.653099,6612.332783,6618.5707409999995,9359.598356
2021-04-04,6769.872119,8599.356088999999,7314.071539,8614.680918,7325.286475,7312.674309,6773.311246,6774.253191,5855.773167,0.0,5858.3540649999995,7692.3183579999995,8051.26681,6037.720066,7507.190432,5309.317399,5855.677471,7318.32173,6586.462818,8422.976202,6219.137876,6781.841398,4940.80364,6049.9508989999995,8048.430448,7683.754449999999,6402.002557,5675.244908,5672.762989,6218.667338,7686.006714,7127.267928,5670.582228,6763.08647,7313.079521,6225.547696,4753.567205,6587.116381,8606.121943,8054.562438,6949.255199,6408.199695
2021-04-11,6404.877383999999,6763.353572999999,7859.175294,5861.664646,5316.002065,5867.316812,8048.843037,6583.292574,8415.979403,0.0,7500.93658,6756.732917,4573.111527,6212.887704,7141.486198,6947.279605,6395.8106689999995,6586.983212,3838.845072,8048.956881,6583.6743639999995,6581.211799,8228.841488,4757.573245,7132.618601,5852.807318,6956.830745,6399.623951,5872.322097,4566.655192,8056.062542,6754.1926619999995,6947.455661,5110.566369,8616.875554,3654.848699,6767.916088,6940.882497,5122.156368,6036.472761999999,6966.508906999999,4938.575479
2021-04-18,4567.918841,6756.8498469999995,7304.195783,7670.347719,7496.582925,7670.6898869999995,7665.716513,6573.032092,6211.343459,0.0,4928.199076,6575.611549,6939.5446919999995,6571.77548,6753.517704,6024.713314,5657.4716339999995,5843.9969249999995,6215.151441999999,7120.458621,6393.287862,7855.8836,6396.146441,8962.753366,6208.888438,7687.077548,5660.487918,6210.4986229999995,6570.530194,7120.512424,7319.212886,7498.590485,4929.173993,7669.549825,5842.995121,4930.073797,4747.633587,4388.202927,7866.334223,7307.238255,8036.385276,6769.006238
2021-04-25,6571.345153,7484.148878,7486.144874,6208.698415,4562.443436,5289.808013,7299.6579059999995,5111.930928,6387.8101799999995,0.0,6937.013112,6388.319001,7119.798607,6022.286769,5293.438003,6385.556438,4562.832009,6385.082209,8394.862179,6026.021633,6023.846691,6389.319979,6206.707519,5843.4663009999995,7300.86354,6210.848005,4925.485528,6205.665876,6574.989321,6751.111463,6387.3753289999995,4016.230353,6389.0172139999995,7123.495924,6024.94565,6209.313875,6022.38141,6025.778413,6020.327614,6203.081466,7300.34515,7301.01592
2021-05-02,6388.496411,6942.695618,7127.033195,5294.731331,7128.227139,6386.356556,6391.629349,5473.059516,4929.57498,0.0,6758.498942,5111.74732,2557.436529,5480.90355,6755.07306,6757.815136,5659.587037,5664.976199,6576.367785,6206.0998739999995,5478.651765,7305.071487,7853.228923,4942.221048,7123.808766,4930.099846,5845.608196,6939.025566,6393.709673,7310.232696,6394.246604,7302.51808,4934.701778,4748.892529,7484.34365,7857.464018,6027.254699,6758.2500279999995,7486.27305,4197.6889759999995,4937.304065,6400.842526
2021-05-09,4927.178408,6753.808779,5840.551133,6027.028287,4748.371887,6204.494281,5110.941299,6570.250802,5109.830702,0.0,5667.474761,7303.281411,4381.506203,5840.780955,6753.326806,4929.495104,7116.629243,5108.793395,7483.868291,4563.325313,6568.728361,7488.366197,4746.485686,4197.251437,4378.977237,5477.772114,5843.351557,7301.909629,6568.290688,4197.791647,5477.733048,7667.742823,6204.34974,6206.886175,4745.572693,7116.961429,6751.89145,3832.308016,6387.691998,4563.039361,6755.170452,5658.892045
2021-05-16,6350.324459,6164.471602,6893.361313,7280.946435,5277.159532,6371.659466,5256.535975,5254.643954,5459.535501,0.0,4714.597469,4713.568954,4011.147535,5438.010586,4371.861933,6894.169937,5431.886254,6530.943868,4172.716104,5602.13336,4360.280793,5636.649292,5800.596935,4008.117501,4707.516558,5785.4905,3800.5228589999997,5963.82146,4705.698461,3986.022446,5636.917235,5588.434472,5257.080333,5805.10838,5983.145509,5637.22621,6720.649339,6711.028332,5804.669215,5442.84454,5452.788551,5089.802484
2021-05-23,4890.062441,3844.451008,5937.853593,5592.159406,5766.790631,6113.981593,5240.482953000001,3666.996008,4891.611336,0.0,5066.269944,5413.187449,4893.680684,5418.654727,2619.229815,5066.0251100000005,5240.4260460000005,5068.151103,4541.6542580000005,4016.887556,4892.578151,4716.1743910000005,7161.16629,5597.83438,6117.341781,5414.270981,4195.329699,4549.4638540000005,5940.017135,5239.718651,5413.778165000001,4194.857557,5766.859216,3320.960376,6986.304050000001,6812.966671,6814.150617,2444.577824,5588.539731,5590.238351,5766.090976,5591.813464
